candidate_id,queue_id,source_document_id,pmid,pmcid,doi,title,journal_or_agency,publication_year,source_url,evidence_domain,candidate_modality,candidate_source_location,candidate_matched_terms,fetch_status,article_type,pmc_license,proposed_source_location,source_anchor_hash,machine_matched_terms,molecule_name_proposed,molecule_id,molecule_canonical_name,modality_name,target_gene_symbol_proposed,target_gene_symbol,disease_context,therapeutic_status,external_ids,verified_entity_table,endpoint_name_proposed,endpoint_name,endpoint_category_proposed,endpoint_category,evidence_type_proposed,evidence_type,assay_type_proposed,assay_type,model_context_proposed,model_context,organism,cell_line_or_tissue,dose_value,dose_unit,exposure_time_value,exposure_time_unit,replicate_count,assay_source_location,measured_value_proposed,measured_value,measured_unit_proposed,measured_unit,direction_proposed,direction,significance_label_proposed,significance_label,offtarget_gene_symbol,offtarget_transcript_id,measured_effect,effect_unit,match_type,seed_match_length,is_observed_experimental,is_computational_prediction,evidence_grade_proposed,evidence_grade,source_location_verified,benchmark_eligible_proposed,curator_decision,curator_id,validation_status,audit_note_proposed,audit_note,risk_flags
52,120,1031,41994868,PMC13096799,10.1093/nar/gkag345,Acyclic serinol nucleic acid modification of siRNAs overcomes seed region mediated off-target effects while maintaining potency.,Nucleic Acids Res,2026,https://pubmed.ncbi.nlm.nih.gov/41994868/,offtarget,siRNA,PubMed abstract sentence 5,off-target;seed,cache,research-article,,Results > In vitro gene silencing of modified siRNA containing SNA modifications; paragraph 28,d46dd71ea9b7a983,off-target; risc; sirna; rnai; galnac; phosphorothioate; lna,,,SNA-modified GalNAc-siRNA panel from PMID 41994868,siRNA,,TTR,,,{},offtarget_evidence,,,,,off-target evidence,seed-mediated off-target effect,full_text_experimental_context_needs_curator_resolution,dual-luciferase off-target reporter assay,,COS-7 cells; GalNAc-siRNA targeting Ttr,human,COS-7 cells,,,,,,Results > Analysis of miRNA-like off-target activity in a luciferase reporter assay; paragraph 3,,,,,,,,,,,,,seed,7,1,0,B,A,Results > Analysis of miRNA-like off-target activity in a luciferase reporter assay; paragraph 3,true,accept,jie_ni,curator_verified,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",Full text checked; Results section directly supports SNA-modified GalNAc-siRNA mitigation of seed-mediated off-target reporter activity.,none
278,592,1154,41646886,PMC12870468,10.1016/j.omtn.2026.102835,2'-Ribose-modified nucleotides: A strategy for reducing off-target effects of oligonucleotide drugs.,Mol Ther Nucleic Acids,2026,https://pubmed.ncbi.nlm.nih.gov/41646886/,offtarget,ASO,PubMed abstract sentence 4,off-target;silencing,cache,research-article,,Discussion; paragraph 27,60a3b67ebc8736ba,off-target; seed; unintended; silencing; antisense; aso; sirna; rnai; galnac; lna,,,,ASO,,,,,{},offtarget_evidence,,,,,seed-mediated off-target effect,seed-mediated off-target effect,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Discussion; paragraph 27,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",discussion_or_conclusion_anchor
1830,4384,2274,41755844,PMC12933297,10.1021/jacsau.5c01765,Taming the Achilles' Heel: A Chemical and Structural Design to Address Off-Target Effects in siRNA Therapeutics.,JACS Au,2026,https://pubmed.ncbi.nlm.nih.gov/41755844/,offtarget,siRNA,PubMed abstract sentence 8,off-target;seed,cache,research-article,,article body; paragraph 18,715e54c8da589af8,off-target; seed; transcriptome; silencing; risc; sirna; rnai,,,,siRNA,,,,,{},offtarget_evidence,,,,,seed-mediated off-target effect,seed-mediated off-target effect,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,article body; paragraph 18,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
284,604,1157,41467115,PMC12744844,10.1016/j.omtn.2025.102693,An siRMSD parameter of structural distortion induced by chemical modification is predictive of the off-target effect of siRNA.,Mol Ther Nucleic Acids,2025,https://pubmed.ncbi.nlm.nih.gov/41467115/,offtarget,siRNA,PubMed abstract sentence 3,off-target;unintended,cache,research-article,,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,594ce937d05e3452,off-target; seed; sirna; rnai,,,siVIM-270 chemical modification panel from PMID 41467115,siRNA,,VIM,,,{},offtarget_evidence,,,,,seed-mediated off-target effect,seed-mediated off-target effect,full_text_experimental_context_needs_curator_resolution,dual-luciferase reporter assay and transcriptome validation,,HeLa cells and luciferase reporter constructs,human,HeLa cells,,,,,,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,,,,,,,,,,,,,seed,7,1,0,B,A,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,true,accept,jie_ni,curator_verified,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",Full text checked; Results section directly measures seed-region chemical modification effects on siRNA off-target reporter activity.,none
616,1442,1410,41315228,PMC12663328,10.1038/s41467-025-65799-5,The nucleobase guanine at the 3'-terminus of oligonucleotide RGLS4326 drives off-target AMPAR inhibition and CNS toxicity.,Nat Commun,2025,https://pubmed.ncbi.nlm.nih.gov/41315228/,offtarget,ASO,PubMed abstract sentence 1,off-target;unintended,cache,research-article,,Results > RGLS4326 inhibits AMPAR ligand binding and function; paragraph 10,28e7c96cb37b861f,off-target; unintended; hybridization,RGLS4326,,RGLS4326,ASO,,,,,{},offtarget_evidence,,,,,hybridization/mismatch off-target effect,off-target evidence,full_text_experimental_context_needs_curator_resolution,SpectrumScreen binding panel and AMPAR functional assay,,molecular target binding panel and AMPAR assay,,,,,,,,Results > RGLS4326 inhibits AMPAR ligand binding and function; paragraph 10,,,,,,,,,,,,,off-target pharmacology,,1,0,B,B,Results > RGLS4326 inhibits AMPAR ligand binding and function; paragraph 10,true,accept,jie_ni,curator_verified,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",Full text checked; Results section supports RGLS4326 off-target AMPAR ligand-binding/function inhibition as a CNS toxicity mechanism.,none
676,1566,1442,41066632,PMC12581821,10.1093/hmg/ddaf153,Determining off-target effects of splice-switching antisense oligonucleotides using short read RNAseq in neuronally differentiated human induced pluripotent stem cells.,Hum Mol Genet,2025,https://pubmed.ncbi.nlm.nih.gov/41066632/,offtarget,ASO,PubMed abstract sentence 5,off-target;transcriptome;hybridization,cache,research-article,,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,52665c371b59be1b,transcriptome; mismatch; hybridization,,,APP-AON/ATXN3-AON/HTT-AON panel from PMID 41066632,ASO,,,,,{},offtarget_evidence,,,,,transcriptome-level off-target effect,hybridization/mismatch off-target effect,full_text_experimental_context_needs_curator_resolution,short-read RNA-seq with RT-PCR validation,,neuronally differentiated human induced pluripotent stem cells,human,neuronally differentiated hiPSCs,,,,,,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,,,,,,,,,,,,,hybridization/mismatch,,1,0,B,A,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,true,accept,jie_ni,curator_verified,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",Full text checked; Results section links AON-specific splicing events to predicted off-target binding sites and validates selected events.,none
3441,8369,3461,41141640,PMC12550521,10.21769/BioProtoc.5475,Effective Gene Silencing in Plants by Synthetic Trans-Acting siRNAs Derived From Minimal Precursors.,Bio Protoc,2025,https://pubmed.ncbi.nlm.nih.gov/41141640/,offtarget,siRNA,PubMed abstract sentence 6,off-target;silencing,cache,methods-article,,General notes and troubleshooting; paragraph 348,356c784839257f96,off-target; transcriptome; sirna,,,,siRNA,,,,,{},offtarget_evidence,,,,,transcriptome-level off-target effect,transcriptome-level off-target effect,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,General notes and troubleshooting; paragraph 348,true,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",none
8,16,1001,38192001,PMC10799297,10.1093/bioinformatics/btae011,SeedMatchR: identify off-target effects mediated by siRNA seed regions in RNA-seq experiments.,Bioinformatics,2024,https://pubmed.ncbi.nlm.nih.gov/38192001/,offtarget,siRNA,PubMed abstract sentence 2,off-target;seed,cache,brief-report,,1 Introduction; paragraph 5,6a806e6ccc1fcd2f,off-target; seed; transcriptome; sirna,,,,siRNA,,,,,{},offtarget_evidence,,,,,seed-mediated off-target effect,seed-mediated off-target effect,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,1 Introduction; paragraph 5,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",intro_anchor_needs_primary_result
881,2035,1574,38993932,PMC11238192,10.1016/j.omtn.2024.102237,Strategies to improve the design of gapmer antisense oligonucleotide on allele-specific silencing.,Mol Ther Nucleic Acids,2024,https://pubmed.ncbi.nlm.nih.gov/38993932/,offtarget,ASO,PubMed abstract sentence 8,mismatch;silencing,cache,research-article,,Results > Mixmer ASOs silence COL6A3 via RNase H-mediated RNA cleavage; paragraph 21,e26b0e55bb534b42,silencing; risc; aso; sirna; gapmer; lna,,,,ASO,,,,,{},offtarget_evidence,,,,,off-target evidence,off-target evidence,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Results > Mixmer ASOs silence COL6A3 via RNase H-mediated RNA cleavage; paragraph 21,true,reject,jie_ni,curator_rejected,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Reject: source location supports RNase H-mediated COL6A3 silencing/MOA, not primary ASO off-target evidence.",none
8792,30952,12077,39231537,PMC11472056,10.1093/nar/gkae741,Synthesis of 2'-formamidonucleoside phosphoramidites for suppressing the seed-based off-target effects of siRNAs.,Nucleic Acids Res,2024,https://pubmed.ncbi.nlm.nih.gov/39231537/,offtarget,siRNA,PubMed abstract sentence 1,off-target;seed,cache,research-article,,Introduction; paragraph 2,164ce04b457b38df,off-target; seed; unintended; silencing; risc; sirna; small interfering rna; rnai,,,,siRNA,,,,,{},offtarget_evidence,,,,,seed-mediated off-target effect,seed-mediated off-target effect,full_text_experimental_context_needs_curator_resolution,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,B,B,Introduction; paragraph 2,false,pending_pi_review,,machine_extracted_needs_human_verification,"Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.","Machine pre-curation only. Human curator must verify source anchor, molecule identity, assay context, endpoint, and grade before promotion.",intro_anchor_needs_primary_result
