source_key,pmid,source_type,reuse_category,license_status,priority,notes
source_1,,nar_guideline,derived_annotations_only,official_guideline,core,Submitting to the Database Issue; Nucleic Acids Research; 2026
source_2,,nar_editorial,derived_annotations_only,open_access,core,The 2026 Nucleic Acids Research database issue and the online molecular biology database collection; Nucleic Acids Research; 2026
pmid_41171135,41171135,closest_work,query_linkout_only,open_access,core,theRNA: a curated knowledgebase of functional RNA therapeutics spanning diverse modalities and disease applications; Nucleic Acids Research; 2026
pmid_39541343,39541343,closest_work,query_linkout_only,open_access,core,siRNAEfficacyDB: An experimentally supported small interfering RNA efficacy database; IET Systems Biology; 2024
pmid_41484819,41484819,closest_work,query_linkout_only,cc_by_nc_nd,core,CMsiRNAdb: a database of chemically modified SiRNA silencing efficiency for nucleic acid drug design; BMC Bioinformatics; 2026
source_6,,closest_work,query_linkout_only,open_access,core,CRISPRoffT: comprehensive database of CRISPR/Cas off-targets; Nucleic Acids Research; 2025
source_7,,challenge_notice,derived_annotations_only,official_notice,core,Notice of Announcement of NIH Oligonucleotide Toxicity (OligoTox) Open Data Challenge Competition; NIH/NCATS; 2025
pmid_41078095,41078095,literature_signal,derived_annotations_only,abstract_metadata_only,candidate_pool,Toxicity of Antisense Oligonucleotides is Determined by the Synergistic Interplay of Chemical Modifications and Nucleotide Sequences; ChemBioChem; 2025
pmid_39912803,39912803,industry_guidance,derived_annotations_only,abstract_metadata_only,core,Assessing Hybridization-Dependent Off-Target Risk for Therapeutic Oligonucleotides: Updated Industry Recommendations.; Nucleic Acid Ther; 2025
pmid_38192001,38192001,tool_reference,derived_annotations_only,abstract_metadata_only,core,SeedMatchR: identify off-target effects mediated by siRNA seed regions in RNA-seq experiments.; Bioinformatics; 2024
pmid_41760661,41760661,literature_signal,derived_annotations_only,abstract_metadata_only,candidate_pool,Dysregulation of the DNA damage response by phosphorothioate antisense oligonucleotides.; Nat Commun; 2026
