id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
1,14,14,DNA damage response,genotoxicity,,,increased,significant,1,1002,Results > ASO treatment cause activation of DNA repair enzymes and these proteins are enriched in ASO-seeded PS bodies; paragraph 15,A
2,15,15,hepatotoxicity,hepatic,,,increased,significant,1,1035,Results > Tool ASO safety profile characterization in vitro and in vivo; paragraph 32,A
4,17,17,neurotoxicity,neurological,,,mitigated,significant,1,1028,Results > Gap modification of 5′-CP mitigates cytotoxicity and in vivo neurotoxicity across various PS-ASOs; paragraph 25,A
5,18,18,hepatotoxicity,hepatic,,,no observed toxicity,non-significant,1,1780,Results > Liver and kidney toxicity assessment of BND6482; paragraph 61,B
6,19,19,safety/tolerability,general safety,,,no observed toxicity,non-significant,1,1782,Results > Safety assessments reveal L2-Htt is well tolerated in aged mice; paragraph 43,B
7,20,20,safety/tolerability,general safety,,,mitigated,descriptive,1,1822,RESULTS > Anti-PMM effect of TP-siRC@tHyNPs in vivo; paragraph 30,C
8,21,21,hepatotoxicity,hepatic,,,no observed toxicity,non-significant,1,1846,Results > Anti–miR-21-SNA Treatment Inhibits Kidney Cyst Growth; paragraph 32,B
9,22,22,safety/tolerability,general safety,,,increased,descriptive,1,2285,Results > Safety and Tolerability; paragraph 24,A
10,24,24,neurotoxicity,neurological,,,decreased,significant,1,1413,Result > Nucleobase-dependent effects of hypoxanthine substitution on in vivo CNS toxicity; Fig. 3 caption,A
11,25,25,cytotoxicity,general safety,,,no significant change,not significant,1,3211,2. Results > 2.6. Knockdown of Endogenously Expressed IL-1β by Nebulized siRNA; paragraph 27,C
12,26,26,neurotoxicity,neurological,,,increased,,1,1410,Results > CNS toxicity after RGLS4326 treatment in nonclinical toxicity studies; paragraph 7,A
13,27,27,safety/tolerability,general safety,,,no significant change,,1,2286,Results > Primary Efficacy: Safety; paragraph 27,A
15,29,29,cytotoxicity,general safety,,,no significant change,,1,3500,Results > PEI/PPI-based nanoparticles reveal low cytotoxic potential and polymer-dependently knock down SNCA mRNA in vitro; paragraph 6,C
16,30,30,safety/tolerability,general safety,,,no significant change,,1,3517,Results > Safety; paragraph 22,B
17,31,31,systemic safety,general safety,,,no significant change,,1,3529,Results > In vivo safety access; paragraph 30,B
18,32,32,cytotoxicity,general safety,,,decreased,,1,3574,"Results > In vitro evaluation of cytotoxicity, homologous targeting, and immune escape; paragraph 32",C
19,33,33,systemic safety,general safety,,,no significant change,,1,3590,Results > Assessment of biosafety in vivo; paragraph 42,B
20,34,34,transcriptome toxicity,general safety,,,,,1,3598,Results > Transcriptomic analysis of FSHD myotubes after siRNADUX4 treatment; paragraph 9,C
21,35,35,systemic safety,general safety,,,no significant change,,1,3740,Results > In vivo Safety of hEV@FAP-siTGFβ1; paragraph 42,B
22,36,36,immune activation,immunotoxicity,,,no significant change,,1,8490,Results > Safety and immune-response of siRNA-loaded mEVs; paragraph 15,B
23,37,37,systemic safety,general safety,,,no significant change,,1,12426,Results > In vivo clearance and traceable delivery of supraclusters; paragraph 9,B
24,38,38,neurotoxicity,neurological,,,decreased,significant,1,1110,Results > G-clamp modification in ASO targeting Malat1 RNA mitigates acute CNS toxicity of ASO; paragraph 11,A
25,39,39,neurotoxicity,neurological,,,decreased,significant,1,1115,Results > Using aCSF+ reduces the acute neurotoxicity of CNS-administered ASOs; paragraph 26,A
26,40,40,cytotoxicity,general safety,,,decreased,,1,1417,3. Results > 3.3. Cell Growth Inhibition by Antisense Oligonucleotides; paragraph 21,C
27,41,41,systemic safety,general safety,,,no significant change,,1,1886,3. Results > 3.7. In vivo toxicity of LNP-siTGFβRI; paragraph 36,B
28,42,42,safety/tolerability,general safety,,,,,1,2600,Results > Participants in phase I clinical trial; paragraph 55,A
30,44,44,cytotoxicity,general safety,,,no significant change,,1,3851,Results > Efficacy as siRNA carrier for RNA interference; paragraph 52,C
31,45,45,apoptosis/cytotoxicity,general safety,,,no significant change,,1,12064,3. Results > 3.6. Caspase 3/7 Activity; paragraph 35,C
32,46,46,cytotoxicity,general safety,,,decreased,,1,12122,Results > Synthesis and functional validation of P-E/S lip in vitro; paragraph 26,C
